id,ticket_id,category,priority,question,response
14,BK0014,account_info,medium,Savings account minimum balance penalty,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
15,BK0015,account_info,medium,I need to show me my account type and features on the website,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
16,BK0016,account_info,medium,Is there a zero balance accont available safely,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
17,BK0017,account_info,medium,Difference between savings and current account,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
18,BK0018,account_info,medium,Monthly average balance requirement details,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
19,BK0019,account_info,medium,What accounts can i open in this bank,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
20,BK0020,account_info,medium,Is there a zero balanc account available online,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
21,BK0021,account_info,medium,Can you tell me how to is there a zero balance account available,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
22,BK0022,account_info,medium,Features of premium savings account,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
23,BK0023,account_info,medium,How to features of premium savings account via mobile app,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
24,BK0024,account_info,medium,Explain current account benefits from home,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
25,BK0025,account_info,medium,Is it possible to show me my account type and features safely,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
26,BK0026,account_info,medium,Is it possible to savings account minimum balance penalty,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
27,BK0027,account_info,medium,Check savings account features,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
28,BK0028,account_info,medium,I need to tell me about your standard bank accounts now,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
29,BK0029,account_info,medium,Is there a zero balance account available,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
30,BK0030,account_info,medium,Please guide me on how to what are current account transaction limits online,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
31,BK0031,account_info,medium,Please help me to what is the minimum balance for a savings account,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
32,BK0032,account_info,medium,Detail the annual charges for savings account,"We offer Savings Accounts with interest rates starting at 3.5% p.a. and Current Accounts tailored for businesses with unlimited transactions. Minimum balance rules depend on the specific account type (e.g. ₹5,000 for standard savings). You can view details in our Mobile App under Accounts -> Account Features."
33,BK0033,account_opening,medium,What is the process to open an account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
34,BK0034,account_opening,medium,Tell me how I can step by step account opening process safely,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
35,BK0035,account_opening,medium,How long to activate new savings account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
36,BK0036,account_opening,medium,How do i apply for a new account online instantly,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
37,BK0037,account_opening,medium,Step by step account opening process,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
38,BK0038,account_opening,medium,Register current account for startup,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
39,BK0039,account_opening,medium,Open zero balance account online,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
40,BK0040,account_opening,medium,Requirements for opening minor account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
41,BK0041,account_opening,medium,What is the way to register current account for startup online,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
42,BK0042,account_opening,medium,Start a joint account with my spouse from home,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
43,BK0043,account_opening,medium,Procedure to requirements for opening minor account instantly,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
44,BK0044,account_opening,medium,Documents required for opening account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
45,BK0045,account_opening,medium,I am looking to documents required for opening accnt safely,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
46,BK0046,account_opening,medium,Please guide me on how to open zero balance account online on the website,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
47,BK0047,account_opening,medium,Step by step account opening process,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
48,BK0048,account_opening,medium,Show me how to apply for a new account online via mobile app,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
49,BK0049,account_opening,medium,Start a joint account with my spouse without visiting branch,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
50,BK0050,account_opening,medium,I need to open a new bank account instantly,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
51,BK0051,account_opening,medium,Open a new bank account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
52,BK0052,account_opening,medium,Can i open an account without visiting a branch,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
53,BK0053,account_opening,medium,Kyc documents needed for new bank account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
54,BK0054,account_opening,medium,How to register for a savings account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
55,BK0055,account_opening,medium,Please guide me on how to fill account opening form online,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
56,BK0056,account_opening,medium,Register current acount for startup without visiting branch,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
57,BK0057,account_opening,medium,Apply for a new account online,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
58,BK0058,account_opening,medium,Please help me to how to register for a savings account online,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
59,BK0059,account_opening,medium,Please guide me on how to apply for a new account online instantly,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
60,BK0060,account_opening,medium,Procedure to how long to activate new savings account,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
61,BK0061,account_opening,medium,Fill account opening form online,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
62,BK0062,account_opening,medium,I am looking to requirements for opening minor account safely,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
63,BK0063,account_opening,medium,Apply for business current account online,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
64,BK0064,account_opening,medium,Start a joint account with my spouse,"You can open a Savings or Current account instantly online using Aadhaar OTP and Video KYC verification via our app or website. Alternatively, visit any branch with your PAN, Aadhaar card, address proof, and passport photos. The account will be active within 24 hours."
65,BK0065,account_closure,high,Close joint account requirements,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
66,BK0066,account_closure,high,Terminate bank account relationship,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
67,BK0067,account_closure,high,Do i need to return debit card for closing account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
68,BK0068,account_closure,high,Where to submit account closure request,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
69,BK0069,account_closure,high,I want to how to transfer balance when closing account via mobile app,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
70,BK0070,account_closure,high,Quickest way to deactivate my current account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
71,BK0071,account_closure,high,I am looking to cancel my banking account with you now,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
72,BK0072,account_closure,high,Outstanding fees clear before accont closure,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
73,BK0073,account_closure,high,Show me how to download acount closure form,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
74,BK0074,account_closure,high,Charges for closing savings account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
75,BK0075,account_closure,high,How to shut down my savings account via mobil app,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
76,BK0076,account_closure,high,Close my bank account permanently,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
77,BK0077,account_closure,high,Download account closure form,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
78,BK0078,account_closure,high,Deactivate my current account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
79,BK0079,account_closure,high,How to can i close my account online instantly,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
80,BK0080,account_closure,high,Charges for closing savings account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
81,BK0081,account_closure,high,Tell me how I can decommission active account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
82,BK0082,account_closure,high,What is the way to how to shut down my savings account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
83,BK0083,account_closure,high,Procedure for account closure,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
84,BK0084,account_closure,high,Can i close my account online,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
85,BK0085,account_closure,high,How to shut down my savings account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
86,BK0086,account_closure,high,I am looking to where to submit account closure request,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
87,BK0087,account_closure,high,Show me how to terminate bank account relationship safely,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
88,BK0088,account_closure,high,Please help me to decommission active acount,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
89,BK0089,account_closure,high,Outstanding fees clear before account closure,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
90,BK0090,account_closure,high,Cancel my banking account with you,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
91,BK0091,account_closure,high,Quickest way to how to transfer balence when closing account on the website,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
92,BK0092,account_closure,high,Procedure to where to submit account closure request,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
93,BK0093,account_closure,high,What is the way to close joint account requirements,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
94,BK0094,account_closure,high,Quickest way to procedure for account closure instantly,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
95,BK0095,account_closure,high,How to transfer balance when closing account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
96,BK0096,account_closure,high,Decommission active account,"To close your account, you must visit your home branch and submit a physical Account Closure Form. Please clear any outstanding balances, return unused cheque leaves, and surrender your debit card. The remaining funds can be transferred to another bank or paid out in cash."
97,BK0097,balance_enquiry,low,Check my account balance,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
98,BK0098,balance_enquiry,low,Available cash in my account,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
99,BK0099,balance_enquiry,low,Procedure to tell me my bank balance amount,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
100,BK0100,balance_enquiry,low,Procedure to show my bank balance,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
101,BK0101,balance_enquiry,low,Sms format for balance inquiry,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
102,BK0102,balance_enquiry,low,Check my account balance,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
103,BK0103,balance_enquiry,low,Check remaining balance by missed call,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
104,BK0104,balance_enquiry,low,Balance query missed call number,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
105,BK0105,balance_enquiry,low,Procedure to what is my available balance on the website,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
106,BK0106,balance_enquiry,low,How much money do i have in my savings account,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
107,BK0107,balance_enquiry,low,Procedure to is my account balance updated please,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
108,BK0108,balance_enquiry,low,I want to show my bank balance,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
109,BK0109,balance_enquiry,low,Tell me how I can tell me my bank balence amount,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
110,BK0110,balance_enquiry,low,Where can i see my funds total safely,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
111,BK0111,balance_enquiry,low,How to get instant balance update,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
112,BK0112,balance_enquiry,low,Tell me my bank balance amount,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
113,BK0113,balance_enquiry,low,Where can i see my funds total,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
114,BK0114,balance_enquiry,low,Tell me my bank balance amount via mobl app,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
115,BK0115,balance_enquiry,low,What is my available balance,You can check your balance instantly by: 1) Logging in to our Mobile App or Net Banking dashboard. 2) Giving a missed call to 1800-270-3333 from your registered mobile number for an instant SMS. 3) Sending SMS 'BAL' to 567676.
